T/R,Yordamchi so'z,Turkumi,Xalqaro tegi,O'zbekcha tegi,sof/vazifadosh,shakli,ma'no turi ,uslubiy xoslanishi,sof  turkumi, Yordamchi so'z ishtirok etgan gaplar va olingan manbaa.
122, -gina,yuklama,part,Yukl,vaz.yukl,qo'shimchasimon,ayiruv-chegaralov,so'zlashuv,otning erkalash qo'shimchasi ,"Negaki hozirda mening ko'z yoshlarimgina emas, butun borlig'im siyohdir. A.Qodiriy, O'tkan kunlar."
123,Goh,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,ayiruv-chegaralov,so'zlashuv, - ,"Goh sog', goh kasal onaning taqdiri Komilani tashvishga soladi. Oybek, Oltin vodiydan shabadalar."
124,Goho,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,ayiruv-chegaralov,so'zlashuv, - ,"Qahramonimiz Onesiya ona o'zlari haqida chiroyli hayot haqiqatlarini goho kulib, goho yig'lab, goho suyunib, goho kuyinib gapirib berdilar. nkspi_info@edu.uz"
125,Gohi ,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,ayiruv-chegaralov,badiiy, - ,"Gohi xudman, gohi bexud, Shavq-u dardim sharh qil. E.Vohidov"
126,Gohida,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,ayiruv-chaegaralov,badiiy,ravish,"Hayotda oz yashab ko'p azob ko'rdim, Gohida yiqildim, gohida turdim, sevgidanam do'stdanambirvarakay kuydim, dedingiz, jon bolam, saqlama dilda g'am…   Onam."
127,Go`yo,yuklama,part,Yukl,sof yukl,so'z shaklda,o'xshatish-qiyoslash,kitobiy, - ,"Ko'p yillardan buyon niyat va orzularda, xayol kengliklarida bo'y ko'rsatgan go'zal asarni yaratish uchun barcha hozirliklar ko'rib bo'lingan edi go'yo. I.Sulton, Alisher Navoiy. "
128,Go'yoki,yuklama,part,Yukl,sof yukl,so'z shaklda,o'xshatish-qiyoslash,kitobiy, - ,"Nuqtaday bir qush uchar, Go'yoki behush uchar.Mirtemir."
129,Ha I,yuklama,part,Yukl,sof yukl,so'z shaklda,ta'kid yuklamasi,so'zlashuv, -,"Muqaddam bir nafas quloq solib, bu kuyni avval hech qaerda eshitmaganini sezdi. Ha, bu yangi kuy edi. O'.Hoshimov, Qalbingga quloq sol."
130,Ha II,yuklama,part,Yukl,sof yukl,so'z shaklda,tasdiq yuklamasi,so'zlashuv, - ,"Ha, rost, bemorlarning ko'pi har yerdan kelgan odamlar. S.Karomatov, Oltin qum."
131,Hali,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv,ravish,"Voy sharmandalar, hali qochirib yubordik denglar-a.N.Fozilov, Diydor. Oshni damlab hali o'tiribman, hali o'tiribman. A.Qahhor, qoshchinor chiroqlari. "
132,Hali,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,ayiruv-chegaralov,so'zlashuv,ravish," - Farg'onaga borgunimizcha hali Shukrullo, hali Mirmuhsinning tanishlari topilaversa, bu yaqinda manzilga yetolmaymiz, - deb Said Ahmad hazillashdi. Shukrullo. Javohirlar sandig'i. "
133,Ham,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,betaraf,,"Birovning aybiga kulmagin zinhor, Sening ham aybingga kuluvchilar bor.Maqol"
134,Ham,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,ayiruv-chegaralov,so'zlashuv,yuklama,"Bitibdur besh ravot ham uchta hammom. Uyg'un va Izzat Sulton, Alisher Navoiy."
135,Hamda,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,biriktiruv,badiiy,,"Chuvrindi uyga qaytgunicha ham bo'lib o'tgan suhbatlar mag'zini chaqishga harakat qilib, ""Qanoti bor har qanday maxluq ham erkin hamda baland parevoz qila olmaydi"", degan haqiqatga ishondi. T.Malik, Shaytanat"
136,Haqda,ko'makchi,post,Ko'm,sof.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv, - ,Bu haqda sahifamizning keyingi sonlarida ma'lumot beramiz. Gazetadan
137,Haqida,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,mavzu ma'nosi,betaraf, - ,"Biz Usmon aka bilan o'zimizning ishlarimiz, kuzgi sabzavot, yangi ochilmoqchi bo'lgan yer va boshqa ishlar haqida gaplashdik.O'.Umarbekov, Sevgim-sevgilim."
138,Haqidagi,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,mavzu ma'nosi,betaraf, - ,"Sharif Namozovni qamash, qamoqdan chiqarish haqidagi qog'ozlarda mening imzom yo'q edi. T.Malik, Shaytanat."
139,Haqiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv, - ,Mehnati haqiga olingan narsalarni nopok insonlarga bergisi kelmadi.
140,Haqimda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,mavzu ma'nosi,so'zlashuv, - ,Men haqimda yolg'onlar aytishdi senga… Xalq qo'shiqlari
141,Hatto,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv, - ,"Uyda hamma narsa unga yot hatto onasi ham begona kabi. Oybek, Tanlangan asarlar."
142,Hargiz,yuklama,part,Yukl,sof yukl,so'z shaklda,inkor ,badiiy,,"Aqlsiz odamlar bilan hargiz do'st bo'lmagil. T.Malik, Odamiylik mulki."
143,Hattoki,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv, - ,"Biri - doktor, biri -hamshira, Uchsa hamki hattoki o'qlar, har jangchining yarasin bog'lar. H.Po'lat."
144,Hech,yuklama,part,Yukl,sof yukl,so'z shaklda,inkor ,so'zlashuv, - ,"Noqulay ahvolda iljayib, unga razm soldim. Hech o'zgarmabdi. O'.Hoshimov, Hikoyalar."
145,Holda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,holat,so'zlashuv,ot,"Imom yerga qaragan holda boshini qimirlatib qo'ydi. A.Qodiriy, Mehrobdan chayon."
146,Hisobidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,maqsad,kitobiy,ot,Xarajatlar o‘rnini qoplash hisobidan noqonuniy ravishda yig‘imlar undirilgan. Gazetadan
147,Hisobiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,so'zlashuv,ot,"Xuddi boshqalarning erki hisobiga erkalik qilayotgandek. A.A'zam, bu kunning davomi."
148,Holbuki,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,zidlov ,badiiy, - ,"Shag'irlaydi betinim daryo, Shag'irlaydi vahm to'lgan jar,…Holbuki, tun - bunda odatda,Butun borliq uxlarday sokin.H.Olimjon, Holbuki, tun. "
149,Ila,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,birgalik,badiiy, - ,"A'yonlarimiz amiralmuslimin ila bo'lak qo'rboshilar bilan baqamti bo'lmoq harakatida Farg'onada qolganlar. T.Malik, Savohil."
150,Ilgari,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,kitobiy,ravish,"Yo'qolmasdan ilgari bormidi?Qanaqa ho'kiz edi? - Ola ho'kiz… A.Qahhor, O'g'ri. "
151,Ichra,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,badiiy, - ,"Yovni ko'rsang she'r singari yurish qil, maydon ichra urush qil, Fozil shoir. "
152,Ichiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-payt,so'zlashuv,ot,"Oltinchi bor hujum qildi dushman yana kuch to'plab, Tog' ichiga yashirindi chorasiz isyonkorlar. O'.Umarbekov, Gayduk qizi."
153,Ichida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-payt,so'zlashuv,ot,"Hamma narsani unutib, shu oy ichida ilmiy ishimni taxt qilib, qo'liga topshirishimga zarracha shubha qilmasdi. N.Eshonqul, Xaroba shahar surati"
154,Ichinda,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-payt,badiiy,ot,"Xating aro uzoring sabza ichinda lola, ul chashmi purxumoring loladagi g'azola. Z.M.Bobur."
155,Ichidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,Uy ichidan ga'lati ovoz eshitildi.
156,Juda,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv, - ,"Jadidlarning eng katta otaxonlaridan Ahmadboy Husainov… juda boy odam edi.Usuli jadid maktablariga ko'p pul sarf qildi Cho'lpon, Kecha va kunduz. "
157,Jiq,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv,sifat,Etigim jiq ho'l bo'ldi.
158,Jiqqa,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv, - ,Ust-u boshi jiqqa ho'l. So'zlashuvdan
159,Jihatdan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,kitobiy,ot,"Shu davrada uni ham, o'zini ham har jihatdan tekshirib ko'rdi. Sh.Rashidov, G'oliblar. "
160,Jo`niga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,so'zlashuv,"ot,ravish"," - Endi to'y jo'niga kelsak, hamma gap vaqt-soatga bog'liq, do'stim, -dedi Sobir. Oybek, Oltin vodiydan shabadalar. "
161,Jo`nidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,so'zlashuv,ot," Usta buvanikiga chiqib, imorat jo'nidan gaplashib kelay. Uyg'un, Hayot qo'shig'i. "
162,Kabi,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,o'xshatish,kitobiy, - ,"U insonni go'zal va oliyjanob sehrgar kabi o'ziga chorlaydi, erkalaydi. O'.Umarbekov, Sevgim-sevgilim."
163,Keyin ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ravish,"Otaxon dramaturgning navbatdagi ziyofatidan keyin  Pakana bunga, ayniqsa, amin bo'ldi. E.A'zam, Pakananing ochiq ko'ngli."
164,Keyin ,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,payt va sabab,so'zlashuv,ravish,"Qo'l kalta bo'lgandan keyin, qayoqqa uzatasan. Oybek, Tanlangan asarlar."
165,Keyinidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ravish,"Dushman yurar mard o'g'lonning keyinidan. ""Oysuluv"""
166,Ketiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ot,"Dada, osmon tegi juda ham keng-a?Uning eng ketiga hech kim borganmi? Q.Muhammadiy."
167,Ketida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Siddiqjon uning ketida turgan onasiga qaradi. A.Qahhor,Qo'shchinor chiroqlari."
168,Ketidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ot,"Issiq choy olib keldi. Ketidan ovqatga unadi.H.Nazir, Yonar tog'."
169, -ki,yuklama,part,Yukl,sof yukl,qo'shimchasimon,kuchaytiruv-ta'kid,so'zlashuv, - ," - Voy, shirinim-ey, rahmatli otangga o'xshab senham biram mehribonsanki, tillaring ham biram shirinki. X.To'xtaboyev, Jannati odamlar."
170, -ki,bog'lovchi,part,Bog'l,vaz.bog'l,qo'shimchasimon,sabab,kitobiy,yuklama,"Sen borsanki, keng vohada hayot bor, Demak yurtning labida bol, nabot bor.E.Vohidov"
171, -kina,yuklama,part,Yukl,vaz.yukl,qo'shimchasimon,ayiruv-chegaralov,so'zlashuv,lug'.shakl yas.,Bog'ingdagi  terakkina ko'rdi ko'z yoshim.Folklordan 
172, -kim,yuklama,part,Yukl,sof yukl,qo'shimchasimon,kuchaytiruv-ta'kid,so'zlashuv, - ,"Qo'chqor: -Ey, esi yo'q bandam, shukronalar keltirkim, xotiningni odam qilib yaratganman, - dedi…Sh.Boshbekov.Temir xotin"
173, -ku,yuklama,part,Yukl,sof yukl,qo'shimchasimon,so'roq-taajjub,so'zlashuv, - ,"Uyquning-ku rasvo bo'lgani bor gap, biroq evaziga mutlaqo kutilmagan, jon-jon demoqqa arzigulik bunday tashrif va taklif!E.A'zam, Olis shahar, olis kechmishlar"
174,Ko`ra,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,qiyoslash,so'zlashuv,fe'l,"Me'mor hatto o'z o'gli Nizomiddindan ko'ra ham Zavrakning gaplariga ishonardi. Mirmuhsin, Me'mor."
175,Ko'yi ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,holat,badiiy,ot,"Besh daqiqalab yo'l ustida esankiragan, hushsizlangan ko'yi qotib turgach, moshinavori birdan yurib ketdi… A.Qodiriy, O'tkan kunlar."
176,Ko'm-,yuklama,part,Yukl,sof yukl,qo'shimchasimon,kuchaytiruv,so'zlashuv, - , Dilni yayratadi ko'm-ko'k maysalar. Qo'shiqdan
177, -la   I,ko'makchi,post,Ko'm,sof ko'm,qo'shimchasimon,birgalik,badiiy, - ,Oy shu'lasi-la munavvar  manzil bir zumda chayqaldi.M.Ismoiliy. Farg'ona tong otguncha.
178, -la  II,yuklama,part,Yukl,vaz.yukl,qo'shimchasimon,kuchaytiruv-ta'kid,so'zlashuv,ko'makchi, Kelib-la ketdi.
179,Lang,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv-ta'kid,so'zlashuv,sifat,"Qizlar yetaklashib lang ochiq darvozadan to'g'ri kirib bordilar. A.Muxtor, Opa-singillar."
180,Labbay,yuklama,part,Yukl,vaz.yukl,so'z shaklda,so'roq,so'zlashuv,undov,"Dunyoda kampirlarning duolarini olaylik-da, labbay? Shukrullo, Javohirlar sandig'i. "
181,Labiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,badiiy,ot,"Berdiyor suv labiga cho'nqayib, qo'lini chaydi, belbog'iga artib kelib, akasiga uzatdi. Sh. Xolmirzayev, Biz kecha qolib yuramiz."
182,Lekin,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,zidlov ,betaraf, - ,"Ko'nglingga qara, bolam!Lekin uylansang shunday birovini topib xotin qilginki, sira-sira joningga tegmasin. E.A'zam. Jannat o'zi qaydadir."
183,Lek,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,zidlov ,badiiy, - ,"Lek ko'zga ko'rinmas bugungi yovlar, kiyganday sehrli do'ppi yo qalpoq. Sh.Rahmon, Loda hazrati oliylariga. "
184,Liq,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv,so'zlashuv, - ,"Ikkinchi otdagi katta xurjunning ikki ko'zi liq to'la tanga edi. A.Qodiriy, O'tkan kunlar."
185,Lim,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv,badiiy, - ,"Xilma-xil, rang-barang, qimmatbaho meva-chevalar bilan lim to'lgan patnislar ketma-ket yetkazilib turildi. Oybek, Tanlangan asarlar."
186,Loaqal,yuklama,part,Yukl,sof yukl,so'z shaklda,ta'kid ,so'zlashuv,,"Shu to'rt devor ichra qon yutib, behad zahmat chekkan singlingizga loaqal siz shafqat qilingiz. Oybek. Ulug' yo'l."
187,Mabodo,yuklama,part,Yukl,sof yukl,so'z shaklda,shart,kitobiy,,"Mabodo qachondir mansabdor bo'lib qolsang, bilib qo'y:amal kursisida o'tirganingda kim eng ko'p tovoningni yalasa, kursidan tushganingda o'sha birinchi bo'lib sendan yuz o'giradi.O'.Hoshimov.""Daftar hoshiyasidagi bitiklar"""
188,Magar,bog'lovchi,conj,Yukl,sof yukl,so'z shaklda,shart,badiiy,,"Magar bul so'zlaringiz rost bo'lsa, baxtiqaro bibingizni tashlab ketmas edingiz, amirim! O. Yoqubov, Avlodlarga vasiyat"
189,Mana,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ta'kid ,badiiy,olmosh,"Mana, boshqarma plan bo'limida uni rosa qizartirishdi. S.Ahmad, Bosh o'g'rig'i"
190,Maqsadida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,maqsad,betaraf,ot,"Otabek bilan birga choy ichish maqsadida, ertalab Oybadoqning damlangan choyiga bormay, Otabekning uyg'onishini kutib yurdi. A.Qodiriy,O'tkan kunlar."
191, -mi,yuklama,part,Yukl,sof yukl,qo'shimchasimon,so'roq,so'zlashuv,,"Mumkinmi, aytgin axir? Bu ish yaramas taqir. Q.Muhammadiy"
192, -mi,bog'lovchi,conj,Bog'l,vaz.bog'l,qo'shimchasimon,ayiruv-chegaralov,so'zlashuv,yuklama,"Yomg'irdanmi, terdanmi butun badani shalobbo ho'l. A.Muxtor, Chinor."
193,Miyonasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,badiiy,sifat,"Hamma ish bitganda, ikki kun miyonasida, yeng ichida nikoh o'tkazmoqchi edik. Oybek, Tanlangan asarlar."
194,Misli ,yuklama,post,Yukl,sof yukl,so'z shaklda,o'xshatish,publisistik,,"Qobil farzand ota-onasi uchun misli gavhar bo'lsa gavhar bo'lsa, noqobil farzand ular bo'ynini bo'g'ib turuvchi misli ilondir, deydilar. T.Malik.Jinoyatning uzun yo'li."
195,Misol,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'xshatish,publisistik,ot,"Ishorani payqagan qiz darhol turib choyshabga o'randi-da, arazlagan misol g'amzali bir qarash qilib, sharpasizgina o'sha yoqqa chiqib bekindi. E.A'zam, Shovqin."
196,Misoli,yuklama,part,Yukl,vaz.yukl,so'z shaklda,o'xshatish,publisistik,ot,"Ota qarg'ishi misoli o'q - u oxiratda emas, shu dunyoning o'zida nishonga tegadi. S.Ahmad, Sarob"
197,Mos,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,holat,kitobiy,sifat,"Har tomondan vit-vit, chig'i-chig'I deb sayragan qushlarning turli qo'shiqlari soyning nashasiga mos bir muzika hosil qilgan. P.Tursun, O'qituvchi."
198,Monand,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'xshatish,badiiy,sifat,"Qotillik ham qilay mayli otello monand. A.Oripov, Yillar armoni."
199,Modomiki,yuklama,part,Yukl,sof yukl,so'z shaklda,ta'kid ,publisistik,,"Modomiki ahvol shunday ekan, u kishining orzulariga quloq solishimiz kerak edi. Oybek, Tanlangan asarlar."
200,Mutlaqo,yuklama,part,Yukl,sof yukl,so'z shaklda,inkor ,publisistik,,"Uyquning-ku rasvo bo'lgani bor gap, biroq evaziga mutlaqo kutilmagan, jon-jon demoqqa arzigulik bunday tashrif va taklif!E.A'zam, Olis shahar, olis kechmishlar"
201,Muvofiq,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,qiyoslash,publisistik,sifat,"Bu hukm garchi boshqa bir paytda qaror topgan taomil mezoniga muvofiq kelmasa-da, shu topda adolatli va insonparvar edi.N.Eshonqul, Urush odamlari."
202,Na,yuklama,part,Yukl,sof yukl,so'z shaklda,inkor ,publisistik,,"Zero, xalq shunday bir daryoyi azimki, u toshsa, na shohning qasri, na darveshning kulbasi qolur. Oybek, Navoiy"
203,Nari,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Maktabdan narimi, berimi?"
204,Naq,yuklama,part,Yukl,sof yukl,so'z shaklda,o'xshatish,so'zlashuv,," - Otangizga rahmat, Yusvali tog'a! - dedi boshini qimirlatib Meli polvon. - Gapning naq onasini aytdingiz-qo'ydingiz. P.Tursun, O'qituvchi."
205,Nahot,yuklama,part,Yukl,sof yukl,so'z shaklda,so'roq-taajjub,so'zlashuv,,"Nahot o'g'limga o'shandoq qattiqlikni ravo ko'rsam.A.Qahhor, Qo'shchinor chiroqlari."
206,Nahotki,yuklama,part,Yukl,sof yukl,so'z shaklda,so'roq-taajjub,so'zlashuv,,"Aylanay, qizim, nahotki boshingga davlat qushi qo'nsa-yu, uni kaltak olib o'zing quvlasang. Hamza, Boy ila xizmatchi. "
207,Nainki,yuklama,part,Yukl,sof yukl,so'z shaklda,kuchaytiruv-ta'kid,badiiy,,"Axir u yigirma yildan beri o'ziniki edi-ku, nainki shuncha muddat vujud-tanalari bir bo'lgan odamlar endi begonalarday,bir-biridan butunlay yiroqlashib ketishsa? Q.kenja, Toshqin."
208,Natijasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,sabab,so'zlashuv,ot,Tunlari ko'p o'qishi natijasida ko'z pardalari xiralashib qoldi.
209,Negaki ,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,sabab,publisistik,,"Negaki hozirda mening ko'z yoshlarimgina emas, butun borlig'im siyohdir. A.Qodiriy, O'tkan kunlar."
210,Nechog`lik,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,miqdor-daraja,badiiy,ravish,"Hojining bu so'zi O'zbekoyimga nechog'liq yoqqan bo'lsa, Otabekni shu qadar yerga qaratgan edi. A.Qodiriy, O'tkan kunlar."
211,Nechukkim,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,sabab,badiiy,,"Nechukkim, menga nurli tal'ating jannat bilan tengdir. E.Vohidov, Saylanma"
212,Naqadar,yuklama,part,Yukl,vaz.yukl,so'z shaklda,miqdor-daraja,badiiy,ravish,Toshkent tongotari naqadar go'zal. G'ayratiy. 
213,Nimagaki ,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,sabab,so'zlashuv,olmosh,"Xursand bo'lish kerak, nimagaki bugun qishlog'imizga uyaz(uyezd)hokimi Fishman to'ra keladilar. M.ismoiliy, Farg'ona tong otguncha. "
214,Nisbatan ,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,qiyoslash,so'zlashuv,ravish,"Mahkamning bosiqligi esa uni Ochilga nisbatan bir necha yosh katta ko'rsatardi. P.Qodirov, Uch ildiz."
215,Nihoyat,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv-ta'kid,publisistik,modal so'z,"Elmurod ularning ovozlaridan o'z ishlaridan nihoyat xursand ekanliklarini sezdi.P.Tursun, O'qituvchi."
216,Nihoyati,yuklama,part,Yukl,sof yukl,so'z shaklda,ayiruv-chegaralov,badiiy,,"  -O'g'lingni o'limga olib borayotganim yo'q, nihoyati bir piyola choy ichadi-yu keladi, - dedim. A.Qodiriy, O'tkan kunlar."
217,Nihoyatda,yuklama,part,Yukl,vaz.yukl,so'z shaklda,kuchaytiruv-ta'kid,badiiy,ravish,"Kirgan eshigimiz hozir uchastka deb ataladigan oddiy, lekin mevazor, gulzor, nihoyatda didli, havasli odamlarning hovlisi ekan.A.Qahhor, Dumli odamlar"
218, -oq,yuklama,part,Yukl,sof yukl,qo'shimchasimon,kuchaytiruv-ta'kid,so'zlashuv,,"Mendan boshqa xotin bo'lsa, Zaynabingiz bilan birinchi kundanoq arazlashar edi. A.Qodiriy, O'tkan kunlar."
219, -ov,yuklama,part,Yukl,sof yukl,qo'shimchasimon,gumon,so'zlashuv,,"Bu notabiiy mashqlardan so'ng doim o'zini misli qushday yengil sezadi, hozir qanot chiqarib osmonga uchib ketaman-ov, deydi ruhlanib. N.Norqobilov, Kurash."
220, -oy,yuklama,part,Yukl,sof yukl,qo'shimchasimon,erkalash,so'zlashuv,,Salimaoy juda o'zini hurmat qiladigan ayollar toifasidan edi.Gazetadan.
221,Oid,ko'makchi,post,Ko'm,sof ko'm,so'z shaklda,tegishlilik,kitobiy,,"Medisinaga oid kitoblarni o'qib o'zida o'n ikki xil kasallik borligini ""kashf"" qilibdi. T.Malik, Falak."
222,Oldiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Nizomjon uning oldiga jadal yurib ketdi. S.Ahmad, Ufq."
223,Oldida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Yangi kelgan vaqtingizda meni yomon yo'ldan qaytardingiz.. Butun zveno oldida ta'zir berib, odam bo'l, dedingiz. A.Qahhor, Qoshchinor chiroqlari. "
224,Oldidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ot,"Mansur xayrlashish oldidan eshik yonida turib sekingina: - Bir yoqqa borsangiz, Zulayxo opangizga aytib keting, - dedi. O'Hoshimov, Qalbingga quloq sol."
225,Oldin,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ravish,"Vahobjon urushdan oldin medisina texnikumini tugatib, Sumbulsoyga yuborilgan edi. S. Ahmad. Sumbul."
226,Ortiq,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,qiyoslash,so'zlashuv,sifat,"   -Venera  bog'chada- dedi Zuhra va bundan ortiq gap so'rashni istamadi, shekilli, o'zi savol berdi. A.Qahhor, Nurli cho'qqilar."
227,Ortig'i,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,qiyoslash,so'zlashuv,sifat,Undan ortig'iga chidash mumkin emas edi. Gazetadan
228,Orada,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ot,"Sho'rolar tomoniga o'tgan deyarli barcha bosmachilar umumiy afv to'g'risida dekret bo'lishiga qaramay, otib tashlandilar, eski maktablar, madrasalar tez orada bekitildi.""O'zbekiston tarixi"""
229,Orasiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,Er-xotinning orasiga esi ketgan tushibdi. Maqol 
230,Orasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-payt,so'zlashuv,ot,"O'n kun orasida hozirlikni bitirib to'y qildik. Nihoyat, saodat meniki bo'lib saodatlik kunlarim boshlandi.A.Qodiriy. O'tkan kunlar."
231,Orasidagi,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-payt,so'zlashuv,ot,"Aytmoqchimizki, ""O'tkan kunlar"" bu jihati bilan ham eski va yangi adabiyot orasidagi ko'prik vazifasini ortig'I bilan uddalagan. ""Sharq yulduzi""."
232,Orasidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,payt,so'zlashuv,ot,Ovsinlar orasidan qil ham o'tmasdi. So'zlashuvdan
233,Ortiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,Quyosh bulutlar ortiga yashirindi. 
234,Ortida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Bu jinoyat ortida turgan odamlar, albatta, jazolanishi lozim."
235,Ortidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,Muammoni hal qilish uchun bu ish ortidan ko'p yugurdi.Bormagan tashkiloti qolmadi. Gazetadan.
236,Orqasiga,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,Qachongacha mansabingiz orqasiga kirib yashaysiz! Bir kun kelib barcha kirdikorlaringiz fosh bo'lishidan qo'rqmaysizmi?
237,Orqasida,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Kechaning o'ta qorong'isi orqasida loyxonada kishi bo'lganligini payqash qiyin edi. A.Qodiriy, O'tkan kunlar."
238,Orqasidan,ko'makchi,post,Ko'm,vaz.ko'm,so'z shaklda,o'rin-joy,so'zlashuv,ot,"Shu obro' orqasidan serhosil yerlarga egalik qilishlari  ham mumkin edi. T.Malik, Shaytanat."
